"JobTitle","Sex","Race","JobType","StartYear"
"Construction Codes Inspector III","M","White","Permanent-Full Time",2015
"Survey Instrument Operator","M","White","Permanent-Full Time",2015
"Infant Development Specialist","F","White","Permanent-Full Time",2015
"Infant Development Specialist","F","White","Permanent-Full Time",2015
"Group Home Counselor II","M","Black or African American","Permanent-Full Time",2015
"Emergency Communications Technician III","F","Black or African American","Permanent-Full Time",2015
"Emergency Communications Technician III","F","Hispanic or Latino","Permanent-Full Time",2015
"Construction Codes Inspector III","M","Hispanic or Latino","Permanent-Full Time",2015
"Community Codes Inspector III","F","Black or African American","Permanent-Full Time",2015
"WSS Technician III","M","Asian","Permanent-Full Time",2015
"Public Health Nurse","F","Asian","Permanent-Full Time",2015
"WSS Technician V","M","Black or African American","Permanent-Full Time",2015
"Design Engineer","M","White","Permanent-Full Time",2015
"Sr IT Analyst","F","White","Permanent-Part Time",2015
"WSS Technician II","M","Black or African American","Permanent-Full Time",2015
"Sr IT Analyst","M","White","Permanent-Full Time",2015
"Clinic Aide I","F","Hispanic or Latino","Permanent-Full Time",2015
"Library Assistant II","M","White","Permanent-Full Time",2015
"Eligibility Worker","F","Hispanic or Latino","Permanent-Full Time",2015
"WSS Technician IV","M","Black or African American","Permanent-Full Time",2015
"Planner, Associate","F","White","Permanent-Full Time",2015
"Probation Counselor I","F","Hispanic or Latino","Permanent-Full Time",2015
"Deputy Sheriff","M","Black or African American","Permanent-Full Time",2015
"Deputy Sheriff","M","Black or African American","Permanent-Full Time",2015
"WSS Technician V","M","Black or African American","Permanent-Full Time",2015
"Management & Budget Specialist","F","Asian","Permanent-Full Time",2015
"Infant Development Specialist","F","Black or African American","Permanent-Full Time",2015
"Public Health Nurse Supervisor","F","White","Permanent-Full Time",2015
"Management & Budget Specialist","F","Asian","Permanent-Full Time",2015
"Management Specialist","F","Asian","Permanent-Full Time",2015
"Firefighter/EMT II","M","White","Permanent-Full Time",2015
"Firefighter/EMT II","M","White","Permanent-Full Time",2015
"Administrative Specialist","F","White","Permanent-Full Time",2015
"Management Analyst","F","White","Permanent-Full Time",2015
"Multi-Skilled Wastewater Plant Operator","M","Hispanic or Latino","Permanent-Full Time",2015
"Permit Processing Specialist I","F","Black or African American","Permanent-Full Time",2015
"Trades Manager/Leader I","M","White","Permanent-Full Time",2015
"Construction Management Specialist","M","White","Permanent-Full Time",2015
"Construction Management Specialist","F","Asian","Overstrength Full Time",2015
"Network Analyst","M","White","Permanent-Full Time",2015
"Community Codes Inspector III","F","Black or African American","Permanent-Full Time",2015
"DES Chief Deputy Director","M","White","Permanent-Full Time",2015
"Design Engineer","M","White","Permanent-Full Time",2015
"Sr WSS Technician","M","Black or African American","Permanent-Full Time",2015
"Public Health Nurse","F","Asian","Permanent-Part Time",2015
"Equipment Mechanic I","M","White","Permanent-Full Time",2015
"Lead Aquatics Instructor","F","White","Permanent-Full Time",2015
"Administrative Specialist","M","White","Permanent-Full Time",2015
"Human Services Clinician II","F","White","Permanent-Full Time",2015
"Auto Mechanic I","M","White","Permanent-Full Time",2015
"Facilities Design & Construction Bureau Chief","F","Asian","Permanent-Full Time",2015
"Clinic Aide I","F","Black or African American","Permanent-Part Time",2015
"Sr IT Analyst","M","White","Permanent-Full Time",2015
"Mental Health Therapist II (Licensed)","F","White","Permanent-Full Time",2015
"Multi-Skilled Wastewater Plant Operator","M","White","Permanent-Full Time",2015
"Human Resources Administrative Specialist","F","Black or African American","Permanent-Full Time",2015
"Behavioral Healthcare Division Chief","M","White","Permanent-Full Time",2015
"Clinic Aide I","F","Black or African American","Permanent-Part Time",2015
"Zoning Inspector I","F","Black or African American","Permanent-Full Time",2015
"DES Operating Engineer/Manager","M","White","Permanent-Full Time",2015
"Administrative Technician I","F","Black or African American","Permanent-Full Time",2015
"Tax Specialist I","F","Black or African American","Permanent-Full Time",2015
"Sr IT Analyst","F","Black or African American","Permanent-Full Time",2015
"Water/Sewer Records Coordinator","M","Hispanic or Latino","Permanent-Full Time",2015
"Plant Planning and Reliability Supervisor","M","Hispanic or Latino","Permanent-Full Time",2015
"Infant Development Specialist","F","White","Permanent-Full Time",2015
"DPR Programmer II","F","White","Permanent-Full Time",2015
"Construction Management Specialist","M","White","Permanent-Full Time",2015
"Permit Processing Specialist III","F","Black or African American","Permanent-Full Time",2015
"Warehouse Technician I","M","Black or African American","Permanent-Full Time",2015
"Management Specialist","F","Hispanic or Latino","Permanent-Full Time",2015
"Police Officer","F","White","Permanent-Full Time",2015
"Deputy Sheriff","M","White","Permanent-Full Time",2015
"Police Officer","M","White","Permanent-Full Time",2015
"Police Officer","M","White","Permanent-Full Time",2015
"Clinic Aide I","F","Hispanic or Latino","Permanent-Full Time",2015
"Clinic Aide I","F","Hispanic or Latino","Permanent-Full Time",2015
"Court Specialist II","F","White","Permanent-Full Time",2015
"Police Officer","M","White","Permanent-Full Time",2015
"Police Officer","M","White","Permanent-Full Time",2015
"Electrical Power Technician (Licensed)","M","White","Permanent-Full Time",2015
"Business Systems Analyst II","M","Hispanic or Latino","Permanent-Full Time",2015
"Cable Programs Producer","M","White","Permanent-Full Time",2015
"Housing Assistance Program Specialist","F","Black or African American","Permanent-Full Time",2015
"Police Officer","M","White","Permanent-Full Time",2015
"Police Officer","M","Hispanic or Latino","Permanent-Full Time",2015
"Police Officer","M","White","Permanent-Full Time",2015
"Police Officer","M","White","Permanent-Full Time",2015
"Motorized Vehicle Operator III","M","Hispanic or Latino","Permanent-Full Time",2015
"Technology Program Manager","M","White","Permanent-Full Time",2015
"Police Officer","M","White","Permanent-Full Time",2015
"Police Officer","F","White","Permanent-Full Time",2015
"Sr IT Analyst","F","Black or African American","Permanent-Full Time",2015
"Control System Technician (Certified)","M","Black or African American","Permanent-Full Time",2015
"Transportation Engineering & Operations Bureau Chief","F","Asian","Permanent-Full Time",2015
"Public Service Aide I","M","Hispanic or Latino","Permanent-Full Time",2015
"Police Officer","M","White","Permanent-Full Time",2015
"Paralegal II","F","White","Permanent-Full Time",2015
"Deputy Sheriff","M","Black or African American","Permanent-Full Time",2015
"Paralegal I B","F","Hispanic or Latino","Permanent-Full Time",2015
"Staff Admin/Management Specialist","F","White","Permanent-Full Time",2015
"Park Naturalist","F","White","Permanent-Full Time",2015
"DPR Programmer II","F","Black or African American","Permanent-Full Time",2015
"Police Officer","M","White","Permanent-Full Time",2015
"Auto Mechanic I","M","Black or African American","Permanent-Full Time",2015
"Trades Worker III","M","Hispanic or Latino","Permanent-Full Time",2015
"PS Communications & Emergency Management Dep Director","M","Black or African American","Permanent-Full Time",2015
"Management Analyst","F","Black or African American","Limited Term Full Time",2015
"Design Engineer Team Supervisor","M","White","Permanent-Full Time",2015
"Administrative Assistant VI","F","Black or African American","Permanent-Full Time",2015
"Developmental Disability Specialist II","M","White","Permanent-Full Time",2015
"Motorized Vehicle Operator III","M","Hispanic or Latino","Permanent-Full Time",2015
"Senior Network Engineer","M","White","Permanent-Full Time",2015
"Safety Specialist II","M","White","Permanent-Full Time",2015
"Control Systems Engineer","M","Asian","Permanent-Full Time",2015
"Deputy Sheriff","F","White","Permanent-Full Time",2015
"Human Services Clinician II","F","Black or African American","Permanent-Full Time",2015
"Clinic Aide I","F","Hispanic or Latino","Permanent-Full Time",2015
"Technology Manager","M","White","Permanent-Full Time",2015
"Housing Assistance Program Specialist","F","Black or African American","Permanent-Full Time",2015
"Planner, Principal","F","White","Permanent-Full Time",2015
"Human Services Specialist","F","Black or African American","Permanent-Full Time",2015
"Safety Specialist II","M","White","Permanent-Full Time",2015
"Clinic Aide I","F","Hispanic or Latino","Permanent-Full Time",2015
"Human Services Aide V","F","Black or African American","Permanent-Full Time",2015
"Group Home Counselor II","M","Hispanic or Latino","Permanent-Full Time",2015
"Wastewater Maintenance Technician","M","Hispanic or Latino","Permanent-Full Time",2015
"Trades Worker III","M","Hispanic or Latino","Permanent-Full Time",2015
"Senior Applications Developer","M","Asian","Permanent-Full Time",2015
"Clerk Of Circuit Court Deputy","F","White","Permanent-Full Time",2015
"Staff Human Resources/OD Specialist","F","Black or African American","Permanent-Full Time",2015
"Staff Human Resources/OD Specialist","M","Asian","Permanent-Full Time",2015
"Deputy Sheriff","M","Black or African American","Permanent-Full Time",2015
"Deputy Sheriff","F","Black or African American","Permanent-Full Time",2015
"Deputy Sheriff","M","Black or African American","Permanent-Full Time",2015
"Auto Mechanic I","M","Black or African American","Permanent-Full Time",2015
"Management Analyst","F","White","Permanent-Full Time",2015
"Planner, Associate","M","White","Permanent-Full Time",2015
"Administrative Technician I","F","Black or African American","Permanent-Full Time",2015
"Police Officer","M","Black or African American","Permanent-Full Time",2015
"DES Operations Manager","M","White","Permanent-Full Time",2015
"Communications Specialist II","M","White","Permanent-Full Time",2015
"Survey Instrument Operator","M","Hispanic or Latino","Permanent-Full Time",2015
"AED Specialist IV","F","White","Permanent-Full Time",2015
"Emergency Communications Technician II","F","Black or African American","Permanent-Full Time",2015
"Emergency Communications Technician II","F","Hispanic or Latino","Permanent-Full Time",2015
"Emergency Communications Technician II","F","Black or African American","Permanent-Full Time",2015
"Auto Mechanic I","M","Hispanic or Latino","Permanent-Full Time",2015
"Trades Worker IV","M","White","Permanent-Full Time",2015
"Printer","M","Black or African American","Permanent-Full Time",2015
"Fire Inspector","M","White","Permanent-Full Time",2015
"Commonwealth Atty II","F","White","Permanent-Full Time",2015
"School Crossing Guard I","F","Black or African American","Permanent-Part Time",2015
"WSS Technician II","M","Black or African American","Permanent-Full Time",2015
"School Crossing Guard I","F","Hispanic or Latino","Permanent-Part Time",2015
"Police Officer","F","White","Permanent-Full Time",2015
"Supply Assistant IV","M","White","Permanent-Full Time",2015
"Probation Counselor II","F","Hispanic or Latino","Permanent-Full Time",2015
"Clinic Aide I","F","Hispanic or Latino","Permanent-Part Time",2015
"Business Systems Analyst II","F","Asian","Permanent-Full Time",2015
"Mental Health Therapist II","F","White","Permanent-Full Time",2015
"Firefighter/EMT II","M","White","Permanent-Full Time",2015
"Firefighter/EMT III","M","White","Permanent-Full Time",2015
"Firefighter/EMT III","M","White","Permanent-Full Time",2015
"Firefighter/EMT II","M","Black or African American","Permanent-Full Time",2015
"Auto Mechanic I","M","White","Permanent-Full Time",2015
"Firefighter/EMT III","M","White","Permanent-Full Time",2015
"Firefighter/EMT II","F","White","Permanent-Full Time",2015
"Firefighter/EMT II","F","White","Permanent-Full Time",2015
"Firefighter/EMT II","F","White","Permanent-Full Time",2015
"Plant Technical Supervisor","M","Black or African American","Permanent-Full Time",2015
"Senior Procurement Officer","F","Black or African American","Permanent-Full Time",2015
"Eligibility Worker","M","White","Permanent-Full Time",2015
"Construction Codes Inspector II","M","Black or African American","Permanent-Full Time",2015
"AED Specialist IV","M","White","Permanent-Full Time",2015
"Deputy Sheriff","F","Black or African American","Permanent-Full Time",2015
"Deputy Sheriff","M","Asian","Permanent-Full Time",2015
"Deputy Sheriff","F","Black or African American","Permanent-Full Time",2015
"Deputy Sheriff","M","Black or African American","Permanent-Full Time",2015
"Gardener","M","Hispanic or Latino","Permanent-Full Time",2015
"Police Officer","F","White","Permanent-Full Time",2015
"Deputy Sheriff","M","Asian","Permanent-Full Time",2015
"Police Officer","F","White","Permanent-Full Time",2015
"Police Officer","M","White","Permanent-Full Time",2015
"Police Officer","M","White","Permanent-Full Time",2015
"AED Specialist III","M","White","Permanent-Full Time",2015
"Cultural Affairs Specialist III","F","White","Permanent-Full Time",2015
"DPR Programmer I","M","White","Permanent-Full Time",2015
"DPR Program Specialist","M","White","Permanent-Full Time",2015
"Planner, Associate","M","White","Permanent-Full Time",2015
"Emergency Management Specialist II","F","White","Limited Term Full Time",2015
"Deputy Clerk To County Board","F","Black or African American","Permanent-Full Time",2015
"AED Specialist III","F","Black or African American","Permanent-Full Time",2015
"Probation Counselor I","F","Black or African American","Limited Term Full Time",2015
"Human Services Clinician II","F","Black or African American","Permanent-Full Time",2015
"Employment Services Specialist","F","Black or African American","Permanent-Full Time",2015
"Housing Assistance Program Specialist","M","White","Permanent-Full Time",2015
"Human Services Clinician II","F","White","Permanent-Full Time",2015
"Deputy Sheriff","M","Black or African American","Permanent-Full Time",2015
"Deputy Sheriff","M","White","Permanent-Full Time",2015
"Administrative Officer (DHS)","F","White","Permanent-Full Time",2015
"Police Officer","F","White","Permanent-Full Time",2015
"Police Officer","M","White","Permanent-Full Time",2015
"Staff Management & Budget Specialist","M","White","Permanent-Full Time",2015
"Plant (WPC) Bureau Chief","M","White","Permanent-Full Time",2015
"Auto Mechanic I","M","Black or African American","Permanent-Full Time",2015
"AED Specialist IV","F","White","Permanent-Full Time",2015
"Land Surveyor I","M","White","Overstrength Full Time",2015
"Human Resources Administrative Specialist","M","Hispanic or Latino","Permanent-Full Time",2015
"Mental Health Therapist II (Licensed)","F","Black or African American","Permanent-Full Time",2015
"Records Assistant IV","M","Hispanic or Latino","Permanent-Full Time",2015
"Human Services Clinician II","F","White","Permanent-Full Time",2015
"Tax Specialist I","M","White","Permanent-Full Time",2015
"Design Engineer","F","White","Permanent-Full Time",2015
"Administrative Specialist","M","White","Limited Term Full Time",2015
"Design Engineer","F","Asian","Permanent-Full Time",2015
"Mental Health Therapist II","M","Black or African American","Permanent-Full Time",2015
"Police Officer","F","White","Permanent-Full Time",2015
"DPR Programmer I","F","White","Permanent-Full Time",2015
"Firefighter/EMT II","M","Black or African American","Permanent-Full Time",2015
"Firefighter/EMT II","M","White","Permanent-Full Time",2015
"Firefighter/EMT II","M","White","Permanent-Full Time",2015
"Firefighter/EMT II","M","White","Permanent-Full Time",2015
"Firefighter/EMT II","F","White","Permanent-Full Time",2015
"Firefighter/EMT II","M","Black or African American","Permanent-Full Time",2015
"Firefighter/EMT III","M","White","Permanent-Full Time",2015
"Firefighter/EMT II","M","White","Permanent-Full Time",2015
"Emergency Communications Watch Officer","F","White","Permanent-Full Time",2015
"Human Services Specialist","F","Black or African American","Permanent-Full Time",2015
"Mental Health Therapist II (Licensed)","F","White","Permanent-Full Time",2015
"Public Health Nurse","F","White","Permanent-Full Time",2015
"Clinic Aide I","F","Hispanic or Latino","Permanent-Full Time",2015
"Staff Human Resources/OD Specialist","F","Black or African American","Permanent-Full Time",2016
"Staff Human Resources/OD Specialist","F","Asian","Permanent-Full Time",2016
"Mental Health Therapist II (Licensed)","F","White","Permanent-Full Time",2016
"Eligibility Worker","F","White","Permanent-Full Time",2016
"Deputy Sheriff","M","White","Permanent-Full Time",2016
"Warehouse Coordinator","F","Black or African American","Permanent-Full Time",2016
"Deputy Sheriff","M","Black or African American","Permanent-Full Time",2016
"Deputy Sheriff","M","Black or African American","Permanent-Full Time",2016
"Administrative Technician I","F","White","Permanent-Full Time",2016
"Construction Management Specialist","M","White","Permanent-Full Time",2016
"Psychiatric Nurse","F","White","Permanent-Part Time",2016
"Business Systems Analyst II","M","White","Permanent-Full Time",2016
"Auto Mechanic I","M","Black or African American","Permanent-Full Time",2016
"Communications Specialist II","F","White","Permanent-Full Time",2016
"Multi-Skilled Wastewater Plant Operator","M","Black or African American","Permanent-Full Time",2016
"Management Specialist","M","White","Permanent-Full Time",2016
"Fire Inspector","F","Black or African American","Permanent-Full Time",2016
"Administrative Technician I","M","Black or African American","Permanent-Full Time",2016
"Senior Management Analyst","F","Black or African American","Permanent-Full Time",2016
"Library Assistant II","F","Two or more Races","Permanent-Full Time",2016
"Management Analyst","F","Black or African American","Permanent-Full Time",2016
"Wastewater Maintenance Technician","M","Black or African American","Permanent-Full Time",2016
"Emergency Communications Technician I","F","Black or African American","Permanent-Full Time",2016
"Clinic Aide I","F","Black or African American","Permanent-Part Time",2016
"Management Analyst","F","White","Permanent-Full Time",2016
"Zoning Technician","F","Black or African American","Permanent-Full Time",2016
"Librarian","F","Two or more Races","Permanent-Full Time",2016
"Tax Assessor (DMV Select)","F","Black or African American","Permanent-Full Time",2016
"DHS Principal Program Specialist","F","Black or African American","Permanent-Full Time",2016
"Deputy Sheriff","M","Black or African American","Permanent-Full Time",2016
"Deputy Sheriff","F","Hispanic or Latino","Permanent-Full Time",2016
"School Crossing Guard I","F","Black or African American","Permanent-Part Time",2016
"Staff Human Resources/OD Specialist","M","White","Permanent-Full Time",2016
"Procurement Officer","F","Black or African American","Permanent-Full Time",2016
"Tax Specialist I","M","Black or African American","Permanent-Full Time",2016
"Design Engineer","M","White","Permanent-Full Time",2016
"Group Home Counselor II","M","White","Permanent-Full Time",2016
"Procurement Officer","M","Black or African American","Permanent-Full Time",2016
"Business Systems Analyst II","F","White","Permanent-Full Time",2016
"Mail Clerk","F","Black or African American","Permanent-Full Time",2016
"Library Assistant II","F","White","Permanent-Part Time",2016
"Child Care Specialist","F","Asian","Permanent-Full Time",2016
"Human Services Clinician II","F","Black or African American","Permanent-Full Time",2016
"Police Officer","F","Two or more Races","Permanent-Full Time",2016
"AED Specialist I","F","Hispanic or Latino","Permanent-Full Time",2016
"Design Engineer Team Supervisor","M","White","Permanent-Full Time",2016
"Staff Human Resources/OD Specialist","F","Black or African American","Permanent-Full Time",2016
"Management Specialist","F","Black or African American","Permanent-Full Time",2016
"Administrative Assistant V","F","White","Permanent-Full Time",2016
"Staff Human Resources/OD Specialist","F","Black or African American","Permanent-Full Time",2016
"Staff Human Resources/OD Specialist","M","Black or African American","Permanent-Full Time",2016
"Environmental Management Specialist, Principal","M","White","Permanent-Full Time",2016
"Gardener","M","White","Permanent-Full Time",2016
"Human Services Clinician II","F","Hispanic or Latino","Permanent-Full Time",2016
"Chemist Technologist","M","Black or African American","Permanent-Full Time",2016
"WSS Technician II","M","Black or African American","Permanent-Full Time",2016
"Administrative Technician I","F","Black or African American","Permanent-Full Time",2016
"Mental Health Therapist II","M","White","Permanent-Full Time",2016
"Treasury Specialist II","F","Hispanic or Latino","Permanent-Full Time",2016
"Administrative Assistant V","F","Black or African American","Permanent-Full Time",2016
"Clinic Aide I","F","Hispanic or Latino","Permanent-Part Time",2016
"Environmental Management Specialist, Associate","F","White","Permanent-Full Time",2016
"Accounting Associate","M","Hispanic or Latino","Permanent-Full Time",2016
"Motorized Vehicle Operator IV","M","Black or African American","Permanent-Full Time",2016
"Eligibility Worker","M","Black or African American","Permanent-Full Time",2016
"Employment Services Specialist","M","Black or African American","Permanent-Full Time",2016
"Employment Services Specialist","F","Black or African American","Permanent-Full Time",2016
"Facilities Project Specialist","M","White","Permanent-Full Time",2016
"Eligibility Worker","F","Hispanic or Latino","Permanent-Full Time",2016
"Business Systems Analyst II","M","Black or African American","Permanent-Full Time",2016
"Management & Budget Specialist","F","Black or African American","Permanent-Full Time",2016
"Human Resources Section Manager","M","White","Permanent-Full Time",2016
"Staff Accounting/Auditing Specialist","F","Black or African American","Permanent-Full Time",2016
"Zoning Plan Reviewer","F","White","Permanent-Full Time",2016
"Zoning Technician","M","Native Hawaiian or Other Pacific","Permanent-Full Time",2016
"Zoning Plan Reviewer","F","Asian","Permanent-Full Time",2016
"Trades Worker III","M","Hispanic or Latino","Permanent-Full Time",2016
"Zoning Plan Reviewer","M","Hispanic or Latino","Permanent-Full Time",2016
"Design Engineer Team Supervisor","M","White","Permanent-Full Time",2016
"Facilities Design & Construction Program Manager","M","White","Permanent-Full Time",2016
"Employment Services Specialist","M","Hispanic or Latino","Permanent-Full Time",2016
"DHS Administrative Program Manager","M","White","Permanent-Full Time",2016
"Deputy Sheriff","M","Black or African American","Permanent-Full Time",2017
"Deputy Sheriff","F","Black or African American","Permanent-Full Time",2016
"Deputy Sheriff","F","Black or African American","Permanent-Full Time",2016
"Police Officer","F","Black or African American","Permanent-Full Time",2016
"Construction Plans Examiner II","M","Black or African American","Permanent-Full Time",2016
"Sr Staff Financial Analyst","M","White","Permanent-Full Time",2016
"Commonwealth Atty I","F","White","Permanent-Full Time",2016
"Chemist Technologist","F","Black or African American","Permanent-Full Time",2016
"Deputy Sheriff","F","Hispanic or Latino","Permanent-Full Time",2016
"Deputy Sheriff","M","Hispanic or Latino","Permanent-Full Time",2016
"Deputy Sheriff","M","Black or African American","Permanent-Full Time",2016
"Parks & Natural Resources Section Manager","M","White","Permanent-Full Time",2016
"Design Engineer Team Supervisor","M","Black or African American","Permanent-Full Time",2016
"Deputy Sheriff","M","Two or more Races","Permanent-Full Time",2016
"Deputy Sheriff","F","Black or African American","Permanent-Full Time",2016
"Zoning Technician","M","Unkonwn Race","Permanent-Full Time",2016
"Planner, Associate","M","Black or African American","Permanent-Full Time",2016
"Administrative Technician I","F","Hispanic or Latino","Permanent-Full Time",2016
"Management Analyst","M","Black or African American","Permanent-Full Time",2016
"Administrative Specialist","F","White","Permanent-Full Time",2016
"Management Analyst","F","Black or African American","Permanent-Full Time",2016
"Management Specialist","F","Hispanic or Latino","Permanent-Part Time",2016
"Eligibility Worker","M","Black or African American","Permanent-Full Time",2016
"IT Program Manager","M","White","Permanent-Full Time",2016
"Stationary Watch Engineer","M","Hispanic or Latino","Permanent-Full Time",2016
"Senior Network Engineer","M","Black or African American","Permanent-Full Time",2016
"Planner, Associate","M","White","Overstrength Full Time",2016
"Developmental Disability Specialist II","F","Black or African American","Permanent-Full Time",2016
"Mental Health Therapist II","F","White","Permanent-Full Time",2016
"Police Officer","M","Hispanic or Latino","Permanent-Full Time",2016
"Police Officer","F","White","Permanent-Full Time",2016
"Transportation Program Manager","M","White","Permanent-Full Time",2016
"Control Systems Engineer","M","White","Permanent-Full Time",2016
"Trades Worker III","F","Black or African American","Permanent-Full Time",2017
"Mental Health Supervisor","F","White","Permanent-Full Time",2016
"Communications Specialist II","M","White","Permanent-Full Time",2016
"Human Services Clinician II","F","White","Permanent-Full Time",2016
"Management Specialist","F","White","Permanent-Part Time",2016
"Mental Health Therapist II (Licensed)","F","White","Permanent-Full Time",2016
"Management Analyst","F","Black or African American","Permanent-Full Time",2016
"Trades Worker IV","M","Black or African American","Permanent-Full Time",2016
"Police Officer","M","White","Permanent-Full Time",2016
"Deputy Sheriff","M","Native Hawaiian or Other Pacific","Permanent-Full Time",2016
"Design Engineer","M","Asian","Permanent-Full Time",2016
"Deputy Sheriff","M","White","Permanent-Full Time",2016
"Firefighter/EMT II","M","White","Permanent-Full Time",2016
"Firefighter/EMT II","M","White","Permanent-Full Time",2016
"Firefighter/EMT II","M","Two or more Races","Permanent-Full Time",2016
"Firefighter/EMT II","M","Black or African American","Permanent-Full Time",2016
"Firefighter/EMT II","M","White","Permanent-Full Time",2016
"Firefighter/EMT II","M","White","Permanent-Full Time",2016
"Firefighter/EMT II","M","White","Permanent-Full Time",2016
"Firefighter/EMT I","M","White","Permanent-Full Time",2016
"Firefighter/EMT II","M","White","Permanent-Full Time",2016
"Firefighter/EMT II","M","White","Permanent-Full Time",2016
"Firefighter/EMT II","M","White","Permanent-Full Time",2016
"Firefighter/EMT II","M","White","Permanent-Full Time",2016
"Firefighter/EMT II","F","White","Permanent-Full Time",2016
"Firefighter/EMT II","M","White","Permanent-Full Time",2016
"DHS Principal Program Specialist","F","White","Permanent-Full Time",2016
"Firefighter/EMT II","M","Black or African American","Permanent-Full Time",2016
"Firefighter/EMT II","M","White","Permanent-Full Time",2016
"Firefighter/EMT II","M","White","Permanent-Full Time",2016
"Police Officer","M","Black or African American","Permanent-Full Time",2016
"Communications Specialist II","F","White","Permanent-Full Time",2016
"Mental Health Therapist II (Licensed)","F","White","Permanent-Part Time",2016
"Mental Health Supervisor","F","White","Permanent-Full Time",2016
"Assistant County Manager","F","White","Permanent-Full Time",2016
"Management Specialist","F","White","Permanent-Full Time",2016
"Communications Specialist I","F","Unkonwn Race","Permanent-Full Time",2016
"Administrative Technician I","F","Hispanic or Latino","Permanent-Full Time",2016
"Human Resources Administrative Specialist","F","Black or African American","Permanent-Full Time",2016
"Financial Analyst II","F","White","Permanent-Full Time",2016
"Paralegal I B","M","Asian","Permanent-Full Time",2016
"Applications Developer","M","Asian","Permanent-Full Time",2016
"Mental Health Therapist II (Licensed)","F","Hispanic or Latino","Permanent-Full Time",2016
"Clinic Aide I","F","Hispanic or Latino","Permanent-Part Time",2016
"Clinic Aide I","F","Black or African American","Permanent-Part Time",2016
"Human Services Clinician II","F","Black or African American","Permanent-Full Time",2016
"Auto Mechanic I","M","White","Permanent-Full Time",2016
"GIS Applications Developer","M","White","Permanent-Full Time",2016
"Permit Processing Specialist II","F","Black or African American","Permanent-Full Time",2016
"Security Coordinator","M","White","Permanent-Full Time",2016
"Clerk Of Circuit Court Deputy","F","White","Permanent-Full Time",2018
"Management Analyst","F","White","Permanent-Full Time",2016
"Management Analyst","F","White","Permanent-Full Time",2016
"Management Analyst","F","Black or African American","Permanent-Full Time",2016
"Clinic Aide I","F","Unkonwn Race","Permanent-Part Time",2016
"Probation Counselor II","M","Black or African American","Permanent-Full Time",2016
"Court Assistant","F","Hispanic or Latino","Permanent-Full Time",2016
"Public Health Nurse","F","White","Permanent-Part Time",2016
"Deputy Sheriff","M","Black or African American","Permanent-Full Time",2016
"Human Resources/OD Specialist","F","White","Permanent-Full Time",2016
"Permit Processing Specialist I","F","Black or African American","Permanent-Full Time",2016
"Eligibility Worker","F","Hispanic or Latino","Permanent-Full Time",2016
"Child Care Services Supervisor","F","Black or African American","Permanent-Full Time",2016
"Eligibility Worker","F","Hispanic or Latino","Permanent-Full Time",2016
"Deputy Sheriff","M","Hispanic or Latino","Permanent-Full Time",2016
"Deputy Sheriff","M","Black or African American","Permanent-Full Time",2016
"Deputy Sheriff","M","Hispanic or Latino","Permanent-Full Time",2016
"Deputy Sheriff","M","Black or African American","Permanent-Full Time",2016
"Deputy Sheriff","F","Black or African American","Permanent-Full Time",2016
"Deputy Sheriff","M","Black or African American","Permanent-Full Time",2016
"Deputy Sheriff","M","White","Permanent-Full Time",2016
"Deputy Sheriff","F","White","Permanent-Full Time",2016
"Librarian","F","White","Permanent-Full Time",2016
"Tax Auditor II","M","Unkonwn Race","Permanent-Full Time",2016
"Plant Maintenance Manager","M","Black or African American","Permanent-Full Time",2016
"Facilities Design & Construction Program Manager","M","White","Permanent-Full Time",2016
"Environmental Management Specialist, Associate","M","White","Permanent-Full Time",2016
"Developmental Disability Specialist II","F","Black or African American","Permanent-Full Time",2016
"Management Specialist","F","White","Permanent-Full Time",2016
"Sr IT Analyst","F","White","Permanent-Full Time",2016
"Auto Mechanic I","M","White","Permanent-Full Time",2016
"Auto Mechanic II","M","Black or African American","Permanent-Full Time",2016
"Transportation Bureau Chief","F","Black or African American","Permanent-Full Time",2016
"AED Specialist III","F","White","Permanent-Full Time",2016
"Permit Coordinator","M","White","Permanent-Full Time",2016
"Police Officer","M","White","Permanent-Full Time",2016
"Police Officer","F","White","Permanent-Full Time",2016
"Treasury Program Supervisor I","F","White","Permanent-Full Time",2016
"Custodial Worker II","M","Black or African American","Permanent-Full Time",2016
"Administrative Technician I","F","Hispanic or Latino","Permanent-Full Time",2016
"Physician Assistant","F","White","Permanent-Full Time",2016
"Human Services Specialist","F","White","Permanent-Full Time",2016
"DPR Programmer II","F","White","Permanent-Full Time",2016
"DPR Programmer I","M","White","Permanent-Full Time",2016
"Administrative Technician I","F","Hispanic or Latino","Permanent-Full Time",2016
"Clinic Aide I","F","Unkonwn Race","Permanent-Part Time",2016
"Administrative Assistant III","F","Black or African American","Permanent-Full Time",2016
"Victim Specialist I","F","Unkonwn Race","Permanent-Full Time",2016
"AED Specialist III","F","Hispanic or Latino","Permanent-Part Time",2016
"Gymnastics Instructor","F","Hispanic or Latino","Permanent-Full Time",2016
"Management & Budget Specialist","F","White","Permanent-Full Time",2016
"Auto Mechanic I","M","White","Permanent-Full Time",2016
"Mental Health Supervisor","M","White","Permanent-Full Time",2016
"Budget and Finance Specialist","F","Black or African American","Permanent-Full Time",2016
"Court Assistant","F","White","Permanent-Full Time",2016
